date,home,away,score,tier,result
1979-10-09,Sheffield United,Colchester United,1-2,3,A
1980-04-26,Carlisle United,Colchester United,2-0,3,H
1980-08-16,Carlisle United,Sheffield United,0-3,3,A
1980-09-27,Sheffield United,Rotherham United,1-2,3,A
1981-09-05,Cambridge United,Rotherham United,3-0,2,H
1981-09-12,Newcastle United,Cambridge United,1-0,2,H
1982-02-06,Cambridge United,Newcastle United,1-0,2,H
1982-02-13,Rotherham United,Cambridge United,1-0,2,H
1982-10-02,Rotherham United,Newcastle United,1-5,2,A
1982-10-30,Leeds United,Newcastle United,3-1,2,H
1983-03-12,Newcastle United,Leeds United,2-1,2,H
1983-04-30,Cambridge United,Newcastle United,1-0,2,H
1983-10-14,Leeds United,Cambridge United,3-1,2,H
1983-12-03,Carlisle United,Leeds United,1-0,2,H
1984-04-23,Newcastle United,Carlisle United,5-1,2,H
1984-04-28,Cambridge United,Newcastle United,1-0,2,H
1984-12-29,Cambridge United,Rotherham United,0-2,3,A
1985-05-06,Rotherham United,Cambridge United,0-1,3,A
1985-08-27,Cambridge United,Southend United,1-2,4,A
1985-10-22,Southend United,Colchester United,2-4,4,A
1985-11-02,Hereford United,Colchester United,2-0,4,H
1986-01-03,Colchester United,Hereford United,4-1,4,H
1986-09-27,Colchester United,Peterborough United,1-3,4,A
1986-10-04,Hereford United,Peterborough United,2-0,4,H
1986-12-13,Hereford United,Cambridge United,2-3,4,A
1986-12-28,Cambridge United,Southend United,1-2,4,A
1987-03-03,Torquay United,Southend United,2-1,4,H
1987-04-11,Torquay United,Hartlepool United,0-1,4,A
1987-04-17,Hartlepool United,Scunthorpe United,0-2,4,A
1987-08-22,Carlisle United,Scunthorpe United,3-1,4,H
1987-09-12,Carlisle United,Hartlepool United,1-3,4,A
1987-12-19,Hereford United,Hartlepool United,4-2,4,H
1988-03-05,Scunthorpe United,Hereford United,3-0,4,H
1989-02-18,Scunthorpe United,Colchester United,2-3,4,A
1989-03-05,Cambridge United,Colchester United,3-1,4,H
1989-08-26,Cambridge United,Hereford United,0-1,4,A
1989-10-14,Hereford United,Southend United,0-3,4,A
1989-10-21,Southend United,Maidstone United,0-1,4,A
1989-11-04,Carlisle United,Maidstone United,3-2,4,H
1990-02-17,Peterborough United,Carlisle United,3-0,4,H
1990-02-24,Torquay United,Peterborough United,2-1,4,H
1990-03-10,Torquay United,Scunthorpe United,0-3,4,A
1990-03-17,Scunthorpe United,Hartlepool United,0-1,4,A
1990-04-10,Cambridge United,Hartlepool United,2-1,4,H
1990-09-09,Cambridge United,Southend United,1-4,3,A
1991-10-30,Southend United,Oxford United,2-3,2,A
1991-12-26,Oxford United,Southend United,0-1,2,A
1992-08-15,Newcastle United,Southend United,3-2,2,H
1992-12-28,Oxford United,Newcastle United,4-2,2,H
1993-03-13,Oxford United,Southend United,0-1,2,A
1993-05-01,Cambridge United,Southend United,3-1,2,H
1993-05-08,West Ham United,Cambridge United,2-0,2,H
1993-08-17,Leeds United,West Ham United,1-0,1,H
1994-04-27,Leeds United,Manchester United,0-2,1,A
1994-09-11,Leeds United,Manchester United,2-1,1,H
1995-11-25,Newcastle United,Leeds United,2-1,1,H
1995-12-27,Manchester United,Newcastle United,2-0,1,H
1996-10-20,Newcastle United,Manchester United,5-0,1,H
1997-10-18,Leeds United,Newcastle United,4-1,1,H
1998-03-30,West Ham United,Leeds United,3-0,1,H
1998-12-05,Leeds United,West Ham United,4-0,1,H
1999-02-06,Leeds United,Newcastle United,0-1,1,A
1999-03-13,Newcastle United,Manchester United,1-2,1,A
2000-02-12,Newcastle United,Manchester United,3-0,1,H
2000-04-12,West Ham United,Newcastle United,2-1,1,H
2001-01-01,Manchester United,West Ham United,3-1,1,H
2001-09-15,Newcastle United,Manchester United,4-3,1,H
2001-09-23,West Ham United,Newcastle United,3-0,1,H
2002-01-01,Leeds United,West Ham United,3-0,1,H
2002-01-12,Newcastle United,Leeds United,3-1,1,H
2002-09-11,Newcastle United,Leeds United,0-2,1,A
2003-02-22,Leeds United,Newcastle United,0-3,1,A
2003-04-12,Newcastle United,Manchester United,2-6,1,A
2006-12-17,West Ham United,Manchester United,1-0,1,H
2007-04-14,Sheffield United,West Ham United,3-0,1,H
2007-04-17,Manchester United,Sheffield United,2-0,1,H
2007-05-13,Manchester United,West Ham United,0-1,1,A
2007-09-23,Newcastle United,West Ham United,3-1,1,H
2008-01-12,Manchester United,Newcastle United,6-0,1,H
2012-01-04,Newcastle United,Manchester United,3-0,1,H
2012-10-07,Newcastle United,Manchester United,0-3,1,A
2013-12-07,Manchester United,Newcastle United,0-1,1,A
2014-04-05,Newcastle United,Manchester United,0-4,1,A
2016-05-10,West Ham United,Manchester United,3-2,1,H
2017-01-02,West Ham United,Manchester United,0-2,1,A
2018-02-11,Newcastle United,Manchester United,1-0,1,H
2018-10-06,Manchester United,Newcastle United,3-2,1,H
2019-09-22,West Ham United,Manchester United,2-0,1,H
2019-11-02,West Ham United,Newcastle United,2-3,1,A
2019-12-26,Manchester United,Newcastle United,4-1,1,H
2021-01-27,Manchester United,Sheffield United,1-2,1,A
2021-02-15,West Ham United,Sheffield United,3-0,1,H
2021-03-14,Manchester United,West Ham United,1-0,1,H
