date,home,away,score,tier,result
1967-03-11,Newcastle United,Manchester United,0-0,1,D
1967-03-17,Scunthorpe United,Torquay United,3-1,3,H
1967-03-25,Peterborough United,Oxford United,2-3,3,A
1967-03-27,Sheffield United,Leeds United,1-4,1,A
1967-03-28,Leeds United,Sheffield United,2-0,1,H
1967-04-01,Manchester United,West Ham United,3-0,1,H
1967-04-01,Oxford United,Torquay United,2-2,3,D
1967-04-04,West Ham United,Sheffield United,0-2,1,A
1967-04-08,Peterborough United,Colchester United,2-1,3,H
1967-04-15,Colchester United,Torquay United,1-0,3,H
1967-04-22,West Ham United,Leeds United,0-1,1,A
1967-04-26,Newcastle United,West Ham United,1-0,1,H
1967-04-29,Rotherham United,Carlisle United,2-3,2,A
1967-05-06,West Ham United,Manchester United,1-6,1,A
1967-08-19,Peterborough United,Scunthorpe United,1-1,3,D
1967-08-23,Manchester United,Leeds United,1-0,1,H
1967-09-02,West Ham United,Manchester United,1-3,1,A
1967-09-05,Carlisle United,Rotherham United,4-1,2,H
1967-09-09,Oxford United,Colchester United,3-1,3,H
1967-09-16,Peterborough United,Oxford United,1-1,3,D
1967-09-16,Hartlepool United,Southend United,0-1,4,A
1967-09-23,Sheffield United,Newcastle United,2-1,1,H
1967-09-30,West Ham United,Leeds United,0-0,1,D
1967-10-14,Sheffield United,Manchester United,0-3,1,A
1967-10-14,Torquay United,Oxford United,1-1,3,D
1967-10-25,Leeds United,Newcastle United,2-0,1,H
1967-11-04,Colchester United,Torquay United,3-5,3,A
1967-11-08,Leeds United,Manchester United,1-0,1,H
1967-11-11,Newcastle United,West Ham United,1-0,1,H
1967-11-11,Sheffield United,Leeds United,1-0,1,H
1967-11-11,Torquay United,Peterborough United,3-1,3,H
1967-12-02,West Ham United,Sheffield United,3-0,1,H
1967-12-09,Newcastle United,Manchester United,2-2,1,D
1967-12-15,Scunthorpe United,Peterborough United,2-1,3,H
1967-12-26,Scunthorpe United,Oxford United,1-1,3,D
1967-12-30,Oxford United,Scunthorpe United,2-3,3,A
1968-01-06,Manchester United,West Ham United,3-1,1,H
1968-01-20,Oxford United,Peterborough United,3-1,3,H
1968-01-20,Southend United,Hartlepool United,2-1,4,H
1968-02-03,Newcastle United,Sheffield United,1-0,1,H
1968-02-10,Leeds United,West Ham United,2-1,1,H
1968-02-17,Peterborough United,Colchester United,3-1,3,H
1968-02-26,Colchester United,Scunthorpe United,1-0,3,H
1968-03-02,Oxford United,Torquay United,2-0,3,H
1968-03-09,Scunthorpe United,Colchester United,5-1,3,H
1968-03-16,Newcastle United,Leeds United,1-1,1,D
1968-03-25,Colchester United,Oxford United,1-2,3,A
1968-03-30,Torquay United,Colchester United,3-0,3,H
1968-04-06,Leeds United,Sheffield United,3-0,1,H
1968-04-06,West Ham United,Newcastle United,5-0,1,H
1968-04-06,Peterborough United,Torquay United,2-0,3,H
1968-04-20,Manchester United,Sheffield United,1-0,1,H
1968-04-25,Torquay United,Scunthorpe United,2-1,3,H
1968-04-27,Sheffield United,West Ham United,1-2,1,A
1968-05-03,Scunthorpe United,Torquay United,2-0,3,H
1968-05-04,Manchester United,Newcastle United,6-0,1,H
1968-05-11,Rotherham United,Carlisle United,1-2,2,A
1968-05-11,Colchester United,Peterborough United,1-5,3,A
1968-08-10,Newcastle United,West Ham United,1-1,1,D
1968-08-26,Colchester United,Scunthorpe United,0-4,4,A
1968-08-27,Carlisle United,Oxford United,0-2,2,A
1968-09-07,Manchester United,West Ham United,1-1,1,D
1968-09-14,Sheffield United,Oxford United,1-2,2,A
1968-09-14,Rotherham United,Torquay United,1-0,3,H
1968-09-16,Peterborough United,Scunthorpe United,3-2,4,H
1968-09-21,Manchester United,Newcastle United,3-1,1,H
1968-10-05,Newcastle United,Leeds United,0-1,1,A
1968-10-05,Peterborough United,Southend United,1-0,4,H
1968-10-08,Scunthorpe United,Colchester United,2-3,4,A
1968-10-09,Oxford United,Carlisle United,0-1,2,A
1968-10-12,Leeds United,West Ham United,2-0,1,H
1968-11-02,Manchester United,Leeds United,0-0,1,D
1968-11-09,Sheffield United,Carlisle United,0-1,2,A
1968-11-09,Rotherham United,Hartlepool United,1-1,3,D
1968-11-29,Colchester United,Southend United,4-0,4,H
1968-12-14,West Ham United,Leeds United,1-1,1,D
1968-12-26,Leeds United,Newcastle United,2-1,1,H
1968-12-26,Southend United,Peterborough United,2-1,4,H
1969-01-04,Hartlepool United,Torquay United,2-2,3,D
1969-01-11,Leeds United,Manchester United,2-1,1,H
1969-01-18,Carlisle United,Sheffield United,0-1,2,A
1969-01-18,Hartlepool United,Rotherham United,0-3,3,A
1969-02-14,Southend United,Colchester United,3-1,4,H
1969-03-01,West Ham United,Newcastle United,3-1,1,H
1969-03-03,Torquay United,Hartlepool United,3-0,3,H
1969-03-17,Southend United,Scunthorpe United,0-3,4,A
1969-03-29,West Ham United,Manchester United,0-0,1,D
1969-04-07,Scunthorpe United,Peterborough United,1-2,4,A
1969-04-08,Peterborough United,Colchester United,0-1,4,A
1969-04-12,Newcastle United,Manchester United,2-0,1,H
1969-04-14,Colchester United,Peterborough United,2-2,4,D
1969-04-19,Oxford United,Sheffield United,1-0,2,H
1969-04-19,Torquay United,Rotherham United,1-0,3,H
1969-05-12,Scunthorpe United,Southend United,4-1,4,H
1969-08-09,West Ham United,Newcastle United,1-0,1,H
1969-08-15,Southend United,Scunthorpe United,3-0,4,H
1969-08-23,Leeds United,Newcastle United,1-1,1,D
1969-08-23,Scunthorpe United,Peterborough United,2-1,4,H
1969-08-25,Colchester United,Peterborough United,2-1,4,H
1969-08-27,Manchester United,Newcastle United,0-0,1,D
1969-09-06,Leeds United,Manchester United,2-2,1,D
1969-09-13,Southend United,Hartlepool United,0-2,4,A
1969-09-17,Oxford United,Sheffield United,0-0,2,D
1969-09-20,Hartlepool United,Colchester United,0-0,4,D
1969-09-27,Manchester United,West Ham United,5-2,1,H
1969-09-27,Peterborough United,Hartlepool United,4-0,4,H
1969-09-29,Colchester United,Scunthorpe United,0-2,4,A
1969-10-07,Scunthorpe United,Southend United,2-0,4,H
1969-10-25,Scunthorpe United,Hartlepool United,3-1,4,H
1969-11-08,Oxford United,Carlisle United,1-0,2,H
1969-11-08,Colchester United,Southend United,0-2,4,A
1969-11-22,Torquay United,Rotherham United,0-0,3,D
1969-11-29,Carlisle United,Sheffield United,0-1,2,A
1969-12-13,Hartlepool United,Southend United,2-1,4,H
1969-12-17,Leeds United,West Ham United,4-1,1,H
1969-12-26,Newcastle United,Leeds United,2-1,1,H
1969-12-26,Peterborough United,Scunthorpe United,2-2,4,D
1970-01-10,Colchester United,Hartlepool United,1-1,4,D
1970-01-17,West Ham United,Manchester United,0-0,1,D
1970-01-17,Hartlepool United,Peterborough United,4-2,4,H
1970-01-26,Manchester United,Leeds United,2-2,1,D
1970-01-27,Scunthorpe United,Colchester United,1-1,4,D
1970-02-20,Hartlepool United,Scunthorpe United,1-2,4,A
1970-02-21,Carlisle United,Oxford United,1-1,2,D
1970-02-21,Southend United,Colchester United,2-1,4,H
1970-03-02,Newcastle United,West Ham United,4-1,1,H
1970-03-09,Southend United,Peterborough United,2-0,4,H
1970-03-13,Sheffield United,Carlisle United,1-0,2,H
1970-03-23,Rotherham United,Torquay United,2-1,3,H
1970-03-28,Peterborough United,Southend United,3-4,4,A
1970-04-02,West Ham United,Leeds United,2-2,1,D
1970-04-04,Newcastle United,Manchester United,5-1,1,H
1970-04-04,Peterborough United,Colchester United,1-1,4,D
1970-04-15,Sheffield United,Oxford United,5-1,2,H
1970-08-15,Manchester United,Leeds United,0-1,1,A
1970-08-15,Colchester United,Hartlepool United,1-0,4,H
1970-08-22,Scunthorpe United,Southend United,3-0,4,H
1970-08-26,Leeds United,West Ham United,3-0,1,H
1970-08-29,Manchester United,West Ham United,1-1,1,D
1970-09-05,Scunthorpe United,Cambridge United,0-0,4,D
1970-09-19,West Ham United,Newcastle United,0-2,1,A
1970-09-21,Hartlepool United,Southend United,0-1,4,A
1970-09-26,Cambridge United,Hartlepool United,2-0,4,H
1970-10-03,Peterborough United,Colchester United,1-2,4,A
1970-10-10,Cambridge United,Peterborough United,1-1,4,D
1970-10-17,Leeds United,Manchester United,2-2,1,D
1970-10-17,Hartlepool United,Colchester United,1-2,4,A
1970-10-20,Rotherham United,Torquay United,3-1,3,H
1970-10-20,Scunthorpe United,Peterborough United,5-2,4,H
1970-10-31,Newcastle United,Manchester United,1-0,1,H
1970-10-31,Sheffield United,Carlisle United,2-2,2,D
1970-10-31,Cambridge United,Southend United,0-3,4,A
1970-11-07,Carlisle United,Oxford United,3-2,2,H
1970-11-07,Hartlepool United,Peterborough United,1-2,4,A
1970-11-13,Colchester United,Southend United,1-1,4,D
1970-11-28,Sheffield United,Oxford United,3-0,2,H
1970-12-05,Cambridge United,Colchester United,2-1,4,H
1970-12-18,Southend United,Scunthorpe United,2-2,4,D
1970-12-26,Leeds United,Newcastle United,3-0,1,H
1970-12-26,Peterborough United,Southend United,4-0,4,H
1971-01-15,Torquay United,Rotherham United,3-1,3,H
1971-01-16,West Ham United,Leeds United,2-3,1,A
1971-01-16,Peterborough United,Scunthorpe United,1-2,4,A
1971-01-23,Scunthorpe United,Hartlepool United,2-1,4,H
1971-01-30,Oxford United,Sheffield United,1-2,2,A
1971-02-05,Colchester United,Cambridge United,2-1,4,H
1971-02-13,Hartlepool United,Scunthorpe United,1-1,4,D
1971-02-26,Southend United,Cambridge United,1-1,4,D
1971-02-27,Manchester United,Newcastle United,1-0,1,H
1971-02-27,Carlisle United,Sheffield United,1-0,2,H
1971-03-10,Southend United,Hartlepool United,2-0,4,H
1971-03-12,Southend United,Colchester United,1-1,4,D
1971-03-16,Scunthorpe United,Colchester United,2-0,4,H
1971-03-20,Oxford United,Carlisle United,1-1,2,D
1971-03-20,Peterborough United,Hartlepool United,5-0,4,H
1971-03-22,Colchester United,Scunthorpe United,2-0,4,H
1971-03-27,Cambridge United,Scunthorpe United,1-1,4,D
1971-04-03,West Ham United,Manchester United,2-1,1,H
1971-04-05,Southend United,Peterborough United,1-2,4,A
1971-04-09,Colchester United,Peterborough United,3-0,4,H
1971-04-10,Newcastle United,Leeds United,1-1,1,D
1971-04-17,Peterborough United,Cambridge United,2-3,4,A
1971-04-24,Newcastle United,West Ham United,1-1,1,D
1971-05-01,Hartlepool United,Cambridge United,0-0,4,D
1971-08-14,Peterborough United,Southend United,2-0,4,H
1971-08-17,Sheffield United,Leeds United,3-0,1,H
1971-08-20,Colchester United,Hartlepool United,1-0,4,H
1971-08-28,Hartlepool United,Southend United,2-2,4,D
1971-08-30,Southend United,Scunthorpe United,2-3,4,A
1971-09-01,Leeds United,Newcastle United,5-1,1,H
1971-09-04,Newcastle United,West Ham United,2-2,1,D
1971-09-04,Rotherham United,Torquay United,2-2,3,D
1971-09-11,Peterborough United,Scunthorpe United,0-1,4,A
1971-09-18,Manchester United,West Ham United,4-2,1,H
1971-09-27,Hartlepool United,Peterborough United,1-0,4,H
1971-09-28,Scunthorpe United,Colchester United,2-0,4,H
1971-10-02,Leeds United,West Ham United,0-0,1,D
1971-10-02,Manchester United,Sheffield United,2-0,1,H
1971-10-15,Southend United,Peterborough United,2-1,4,H
1971-10-18,Colchester United,Southend United,1-0,4,H
1971-10-23,Newcastle United,Manchester United,0-1,1,A
1971-10-23,Cambridge United,Colchester United,4-2,4,H
1971-10-30,Manchester United,Leeds United,0-1,1,A
1971-10-30,Carlisle United,Oxford United,2-1,2,H
1971-11-06,West Ham United,Sheffield United,1-2,1,A
1971-12-04,Cambridge United,Southend United,1-1,4,D
1971-12-18,West Ham United,Newcastle United,0-1,1,A
1971-12-18,Torquay United,Rotherham United,0-1,3,A
1971-12-27,Newcastle United,Sheffield United,1-2,1,A
1971-12-27,Colchester United,Peterborough United,1-1,4,D
1971-12-27,Scunthorpe United,Hartlepool United,2-2,4,D
1972-01-01,West Ham United,Manchester United,3-0,1,H
1972-01-07,Southend United,Hartlepool United,3-1,4,H
1972-01-15,Hartlepool United,Cambridge United,1-2,4,A
1972-01-21,Colchester United,Scunthorpe United,1-1,4,D
1972-01-22,Leeds United,Sheffield United,1-0,1,H
1972-01-22,Peterborough United,Hartlepool United,2-2,4,D
1972-01-28,Southend United,Colchester United,1-4,4,A
1972-02-12,Manchester United,Newcastle United,0-2,1,A
1972-02-12,Colchester United,Cambridge United,1-1,4,D
1972-02-19,Leeds United,Manchester United,5-1,1,H
1972-02-19,Oxford United,Carlisle United,3-1,2,H
1972-02-29,Sheffield United,West Ham United,3-0,1,H
1972-03-09,Peterborough United,Cambridge United,2-0,4,H
1972-03-15,Cambridge United,Hartlepool United,2-1,4,H
1972-03-18,Hartlepool United,Colchester United,3-2,4,H
1972-03-25,Scunthorpe United,Peterborough United,0-0,4,D
1972-03-31,West Ham United,Leeds United,2-2,1,D
1972-04-01,Hartlepool United,Scunthorpe United,1-0,4,H
1972-04-01,Peterborough United,Colchester United,4-0,4,H
1972-04-01,Sheffield United,Newcastle United,1-0,1,H
1972-04-04,Sheffield United,Manchester United,1-1,1,D
1972-04-11,Scunthorpe United,Cambridge United,2-1,4,H
1972-04-19,Newcastle United,Leeds United,1-0,1,H
1972-04-19,Cambridge United,Peterborough United,2-5,4,A
1972-04-21,Southend United,Cambridge United,1-2,4,A
1972-04-25,Scunthorpe United,Southend United,1-1,4,D
1972-04-29,Cambridge United,Scunthorpe United,2-0,4,H
1972-08-12,Colchester United,Hereford United,1-0,4,H
1972-08-15,Sheffield United,Leeds United,0-2,1,A
1972-08-19,Sheffield United,Newcastle United,1-2,1,A
1972-08-19,Hartlepool United,Colchester United,2-1,4,H
1972-08-26,Torquay United,Hartlepool United,1-0,4,H
1972-09-02,West Ham United,Manchester United,2-2,1,D
1972-09-09,Cambridge United,Hartlepool United,1-1,4,D
1972-09-16,Peterborough United,Torquay United,0-1,4,A
1972-09-23,Newcastle United,Leeds United,3-2,1,H
1972-09-23,Cambridge United,Peterborough United,3-1,4,H
1972-09-25,Southend United,Scunthorpe United,1-0,3,H
1972-09-30,Sheffield United,Manchester United,1-0,1,H
1972-09-30,Hereford United,Torquay United,2-1,4,H
1972-10-07,Hereford United,Hartlepool United,0-0,4,D
1972-10-11,Cambridge United,Hereford United,1-0,4,H
1972-10-14,West Ham United,Sheffield United,3-1,1,H
1972-10-20,Cambridge United,Colchester United,3-0,4,H
1972-10-21,Newcastle United,Manchester United,2-1,1,H
1972-10-23,Peterborough United,Colchester United,2-2,4,D
1972-10-28,Rotherham United,Scunthorpe United,2-1,3,H
1972-10-28,Peterborough United,Hereford United,1-1,4,D
1972-11-04,Scunthorpe United,Southend United,0-0,3,D
1972-11-11,Leeds United,Sheffield United,2-1,1,H
1972-11-18,Carlisle United,Oxford United,2-1,2,H
1972-11-25,Peterborough United,Hartlepool United,3-0,4,H
1972-12-02,West Ham United,Newcastle United,1-1,1,D
1972-12-02,Cambridge United,Torquay United,0-0,4,D
1972-12-09,Leeds United,West Ham United,1-0,1,H
1972-12-23,Manchester United,Leeds United,1-1,1,D
1972-12-26,Leeds United,Newcastle United,1-0,1,H
1972-12-26,Peterborough United,Cambridge United,1-1,4,D
1972-12-29,Colchester United,Hartlepool United,1-1,4,D
1972-12-30,Newcastle United,Sheffield United,4-1,1,H
1973-01-06,Hartlepool United,Torquay United,1-0,4,H
1973-01-20,Manchester United,West Ham United,2-2,1,D
1973-01-27,Hartlepool United,Cambridge United,0-0,4,D
1973-02-03,Hereford United,Cambridge United,2-1,4,H
1973-02-10,Torquay United,Peterborough United,1-0,4,H
1973-02-17,Hereford United,Colchester United,4-1,4,H
1973-03-03,Hartlepool United,Hereford United,0-1,4,A
1973-03-05,Colchester United,Torquay United,1-1,4,D
1973-03-10,Sheffield United,West Ham United,0-0,1,D
1973-03-16,Colchester United,Cambridge United,0-1,4,A
1973-03-17,Manchester United,Newcastle United,2-1,1,H
1973-03-19,Southend United,Rotherham United,1-0,3,H
1973-03-24,Scunthorpe United,Rotherham United,2-1,3,H
1973-03-24,Hereford United,Peterborough United,3-0,4,H
1973-03-31,Hartlepool United,Peterborough United,0-1,4,A
1973-04-07,Newcastle United,West Ham United,1-2,1,A
1973-04-07,Torquay United,Cambridge United,1-2,4,A
1973-04-09,Colchester United,Peterborough United,1-0,4,H
1973-04-14,West Ham United,Leeds United,1-1,1,D
1973-04-14,Rotherham United,Southend United,1-0,3,H
1973-04-18,Leeds United,Manchester United,0-1,1,A
1973-04-20,Torquay United,Colchester United,0-0,4,D
1973-04-21,Oxford United,Carlisle United,1-1,2,D
1973-04-23,Manchester United,Sheffield United,1-2,1,A
1973-04-24,Torquay United,Hereford United,0-0,4,D
1973-08-25,West Ham United,Newcastle United,1-2,1,A
1973-09-08,Sheffield United,Newcastle United,1-1,1,D
1973-09-08,Peterborough United,Scunthorpe United,1-0,4,H
1973-09-14,Southend United,Cambridge United,3-1,3,H
1973-09-15,Manchester United,West Ham United,3-1,1,H
1973-09-15,Rotherham United,Hartlepool United,2-2,4,D
1973-09-19,Torquay United,Colchester United,0-4,4,A
1973-09-22,Carlisle United,Oxford United,2-1,2,H
1973-09-22,Peterborough United,Torquay United,1-1,4,D
1973-09-22,Leeds United,Manchester United,0-0,1,D
1973-09-29,Scunthorpe United,Hartlepool United,1-1,4,D
1973-10-02,Colchester United,Torquay United,2-2,4,D
1973-10-06,Hartlepool United,Colchester United,0-0,4,D
1973-10-13,Hereford United,Cambridge United,0-0,3,D
1973-10-19,Southend United,Hereford United,2-1,3,H
1973-10-19,Colchester United,Scunthorpe United,2-0,4,H
1973-10-27,Rotherham United,Colchester United,0-0,4,D
1973-11-03,Leeds United,West Ham United,4-1,1,H
1973-11-10,West Ham United,Sheffield United,2-2,1,D
1973-11-13,Rotherham United,Torquay United,1-0,4,H
1973-11-17,Newcastle United,Manchester United,3-2,1,H
1973-11-17,Torquay United,Scunthorpe United,1-1,4,D
1973-12-01,Peterborough United,Hartlepool United,2-0,4,H
1973-12-22,Hartlepool United,Scunthorpe United,3-0,4,H
1973-12-26,Newcastle United,Leeds United,0-1,1,A
1973-12-26,Colchester United,Peterborough United,1-1,4,D
1973-12-26,Manchester United,Sheffield United,1-2,1,A
1973-12-29,Newcastle United,Sheffield United,1-0,1,H
1973-12-29,Scunthorpe United,Peterborough United,2-1,4,H
1974-01-12,West Ham United,Manchester United,2-1,1,H
1974-01-12,Cambridge United,Southend United,3-2,3,H
1974-01-12,Hartlepool United,Rotherham United,2-0,4,H
1974-01-19,Newcastle United,West Ham United,1-1,1,D
1974-01-26,Hartlepool United,Torquay United,0-0,4,D
1974-02-09,Manchester United,Leeds United,0-2,1,A
1974-02-17,Cambridge United,Hereford United,2-0,3,H
1974-02-22,Colchester United,Hartlepool United,3-0,4,H
1974-03-02,Leeds United,Newcastle United,1-1,1,D
1974-03-02,Sheffield United,Manchester United,0-1,1,A
1974-03-02,Peterborough United,Colchester United,2-0,4,H
1974-03-08,Colchester United,Rotherham United,0-1,4,A
1974-03-16,Hereford United,Southend United,1-2,3,A
1974-03-16,Scunthorpe United,Colchester United,1-0,4,H
1974-03-23,Sheffield United,West Ham United,1-0,1,H
1974-03-25,Peterborough United,Rotherham United,2-0,4,H
1974-03-30,West Ham United,Leeds United,3-1,1,H
1974-04-03,Torquay United,Hartlepool United,0-2,4,A
1974-04-06,Torquay United,Rotherham United,3-0,4,H
1974-04-13,Manchester United,Newcastle United,1-0,1,H
1974-04-13,Scunthorpe United,Torquay United,0-0,4,D
1974-04-15,Leeds United,Sheffield United,0-0,1,D
1974-04-15,Rotherham United,Scunthorpe United,1-1,4,D
1974-04-16,Sheffield United,Leeds United,0-2,1,A
1974-04-16,Scunthorpe United,Rotherham United,3-0,4,H
1974-04-23,Oxford United,Carlisle United,0-1,2,A
1974-04-27,Hartlepool United,Peterborough United,0-1,4,A
1974-05-07,Torquay United,Peterborough United,1-2,4,A
1974-05-11,Rotherham United,Peterborough United,3-1,4,H
1974-08-17,Torquay United,Rotherham United,0-3,4,A
1974-08-21,Newcastle United,Sheffield United,2-2,1,D
1974-08-27,Sheffield United,Newcastle United,2-1,1,H
1974-08-31,Newcastle United,West Ham United,2-0,1,H
1974-08-31,Hereford United,Peterborough United,2-0,3,H
1974-08-31,Torquay United,Cambridge United,1-0,4,H
1974-09-07,West Ham United,Sheffield United,1-2,1,A
1974-09-14,Newcastle United,Carlisle United,1-0,1,H
1974-09-14,Hartlepool United,Rotherham United,3-2,4,H
1974-09-21,Leeds United,Sheffield United,5-1,1,H
1974-09-21,Scunthorpe United,Hartlepool United,1-1,4,D
1974-09-24,Scunthorpe United,Torquay United,0-2,4,A
1974-10-01,Cambridge United,Hartlepool United,3-2,4,H
1974-10-02,Peterborough United,Southend United,1-0,3,H
1974-10-07,Southend United,Peterborough United,1-2,3,A
1974-10-12,Hartlepool United,Torquay United,0-0,4,D
1974-10-12,Scunthorpe United,Cambridge United,2-0,4,H
1974-10-23,Hereford United,Colchester United,3-1,3,H
1974-10-25,Southend United,Hereford United,0-0,3,D
1974-10-26,Scunthorpe United,Rotherham United,0-3,4,A
1974-10-29,Colchester United,Southend United,1-1,3,D
1974-11-02,Sheffield United,Carlisle United,2-1,1,H
1974-11-02,Manchester United,Oxford United,4-0,2,H
1974-11-06,Colchester United,Hereford United,1-2,3,A
1974-11-09,Carlisle United,West Ham United,0-1,1,A
1974-11-23,Carlisle United,Leeds United,1-2,1,A
1974-11-30,Cambridge United,Rotherham United,0-0,4,D
1974-12-07,West Ham United,Leeds United,2-1,1,H
1974-12-21,Newcastle United,Leeds United,3-0,1,H
1974-12-26,Carlisle United,Newcastle United,1-2,1,A
1974-12-26,Rotherham United,Hartlepool United,1-2,4,A
1974-12-28,Colchester United,Peterborough United,4-1,3,H
1975-01-11,Leeds United,West Ham United,2-1,1,H
1975-01-18,Rotherham United,Cambridge United,0-0,4,D
1975-02-01,West Ham United,Carlisle United,2-0,1,H
1975-02-08,Carlisle United,Sheffield United,0-1,1,A
1975-02-08,Oxford United,Manchester United,1-0,2,H
1975-02-25,Leeds United,Carlisle United,3-1,1,H
1975-02-28,West Ham United,Newcastle United,0-1,1,A
1975-02-28,Cambridge United,Torquay United,3-1,4,H
1975-03-01,Peterborough United,Hereford United,1-1,3,D
1975-03-08,Torquay United,Scunthorpe United,1-1,4,D
1975-03-18,Rotherham United,Torquay United,3-1,4,H
1975-03-22,Sheffield United,West Ham United,3-2,1,H
1975-03-28,Peterborough United,Colchester United,1-0,3,H
1975-03-28,Hartlepool United,Scunthorpe United,1-0,4,H
1975-03-29,Leeds United,Newcastle United,1-1,1,D
1975-04-01,Sheffield United,Leeds United,1-1,1,D
1975-04-05,Hereford United,Southend United,1-0,3,H
1975-04-05,Rotherham United,Scunthorpe United,3-2,4,H
1975-04-07,Hartlepool United,Cambridge United,1-1,4,D
1975-04-19,Cambridge United,Scunthorpe United,2-0,4,H
1975-04-19,Torquay United,Hartlepool United,2-1,4,H
1975-04-25,Southend United,Colchester United,1-1,3,D
1975-08-16,Carlisle United,Oxford United,1-1,2,D
1975-08-23,Manchester United,Sheffield United,5-1,1,H
1975-08-23,Rotherham United,Hereford United,1-1,3,D
1975-08-30,Sheffield United,Leeds United,0-2,1,A
1975-08-30,Southend United,Rotherham United,1-2,3,A
1975-09-13,Hereford United,Colchester United,0-0,3,D
1975-09-13,Hartlepool United,Scunthorpe United,1-2,4,A
1975-09-20,West Ham United,Sheffield United,2-0,1,H
1975-09-20,Scunthorpe United,Torquay United,3-1,4,H
1975-09-27,Peterborough United,Rotherham United,1-3,3,A
1975-10-11,Leeds United,Manchester United,1-2,1,A
1975-10-11,West Ham United,Newcastle United,2-1,1,H
1975-10-11,Hartlepool United,Torquay United,0-1,4,A
1975-10-21,Colchester United,Rotherham United,0-0,3,D
1975-10-25,West Ham United,Manchester United,2-1,1,H
1975-10-25,Hereford United,Peterborough United,2-4,3,A
1975-11-04,Scunthorpe United,Cambridge United,0-1,4,A
1975-11-08,Leeds United,Newcastle United,3-0,1,H
1975-11-29,Manchester United,Newcastle United,1-0,1,H
1975-11-29,Peterborough United,Southend United,3-2,3,H
1975-12-13,Sheffield United,Manchester United,1-4,1,A
1975-12-20,Oxford United,Carlisle United,0-0,2,D
1975-12-26,Southend United,Colchester United,2-0,3,H
1975-12-27,Newcastle United,Sheffield United,1-1,1,D
1975-12-27,Cambridge United,Torquay United,2-1,4,H
1976-01-10,Rotherham United,Southend United,2-0,3,H
1976-01-14,Peterborough United,Colchester United,3-1,3,H
1976-01-17,Torquay United,Scunthorpe United,1-0,4,H
1976-01-24,Colchester United,Hereford United,1-4,3,A
1976-01-26,Southend United,Hereford United,1-3,3,A
1976-01-31,Rotherham United,Colchester United,2-0,3,H
1976-02-07,Cambridge United,Scunthorpe United,2-2,4,D
1976-02-18,Hartlepool United,Cambridge United,2-2,4,D
1976-02-21,Hereford United,Southend United,2-1,3,H
1976-02-23,West Ham United,Leeds United,1-1,1,D
1976-02-27,Peterborough United,Hereford United,0-3,3,A
1976-02-28,Manchester United,West Ham United,4-0,1,H
1976-03-02,Scunthorpe United,Hartlepool United,5-1,4,H
1976-03-09,Leeds United,West Ham United,1-1,1,D
1976-03-13,Manchester United,Leeds United,3-2,1,H
1976-03-13,Newcastle United,West Ham United,2-1,1,H
1976-03-13,Torquay United,Hartlepool United,1-1,4,D
1976-03-19,Southend United,Peterborough United,0-0,3,D
1976-03-20,Newcastle United,Manchester United,3-4,1,A
1976-03-31,Newcastle United,Leeds United,2-3,1,A
1976-04-06,Rotherham United,Peterborough United,1-1,3,D
1976-04-10,Sheffield United,West Ham United,3-2,1,H
1976-04-14,Leeds United,Sheffield United,0-1,1,A
1976-04-16,Colchester United,Peterborough United,1-1,3,D
1976-04-16,Cambridge United,Hartlepool United,4-0,4,H
1976-04-17,Colchester United,Southend United,2-1,3,H
1976-04-19,Sheffield United,Newcastle United,1-0,1,H
1976-04-19,Torquay United,Cambridge United,0-0,4,D
1976-04-24,Hereford United,Rotherham United,3-2,3,H
1976-08-21,Peterborough United,Rotherham United,0-2,3,A
1976-08-21,Cambridge United,Colchester United,2-0,4,H
1976-08-28,Sheffield United,Hereford United,1-1,2,D
1976-09-11,Newcastle United,Manchester United,2-2,1,D
1976-09-11,Sheffield United,Carlisle United,3-0,2,H
1976-09-11,Rotherham United,Oxford United,1-1,3,D
1976-09-14,Carlisle United,Hereford United,2-2,2,D
1976-09-18,Leeds United,Newcastle United,2-2,1,D
1976-09-18,Hartlepool United,Southend United,1-1,4,D
1976-09-24,Southend United,Scunthorpe United,1-1,4,D
1976-10-02,Cambridge United,Southend United,2-3,4,A
1976-10-02,Scunthorpe United,Hartlepool United,2-0,4,H
1976-10-02,Leeds United,Manchester United,0-2,1,A
1976-10-06,West Ham United,Leeds United,1-3,1,A
1976-10-08,Southend United,Colchester United,0-0,4,D
1976-10-09,Hartlepool United,Cambridge United,2-2,4,D
1976-10-15,Cambridge United,Scunthorpe United,1-0,4,H
1976-10-16,Colchester United,Hartlepool United,6-2,4,H
1976-10-23,Peterborough United,Oxford United,2-0,3,H
1976-10-23,Scunthorpe United,Colchester United,2-0,4,H
1976-10-29,Cambridge United,Torquay United,4-1,4,H
1976-11-01,Colchester United,Torquay United,4-0,4,H
1976-11-20,West Ham United,Newcastle United,1-2,1,A
1976-11-27,Manchester United,West Ham United,0-2,1,A
1976-11-27,Torquay United,Scunthorpe United,1-3,4,A
1976-12-18,Torquay United,Southend United,0-0,4,D
1977-01-03,Torquay United,Cambridge United,2-2,4,D
1977-01-08,Hartlepool United,Torquay United,4-0,4,H
1977-01-21,Colchester United,Cambridge United,0-1,4,A
1977-01-22,Rotherham United,Peterborough United,0-0,3,D
1977-02-19,Manchester United,Newcastle United,3-1,1,H
