date,home,away,score,tier,result
1923-12-08,Manchester United,Leeds United,3-1,2,H
1924-01-01,Sheffield United,West Ham United,0-2,1,A
1924-04-21,West Ham United,Sheffield United,2-2,1,D
1924-09-08,West Ham United,Newcastle United,0-0,1,D
1924-09-17,Newcastle United,West Ham United,4-1,1,H
1924-09-22,Sheffield United,West Ham United,1-1,1,D
1924-11-01,Leeds United,West Ham United,2-1,1,H
1924-11-08,Sheffield United,Leeds United,1-1,1,D
1924-11-15,Leeds United,Newcastle United,1-1,1,D
1925-01-01,Newcastle United,Sheffield United,0-0,1,D
1925-03-07,West Ham United,Leeds United,0-0,1,D
1925-03-14,Leeds United,Sheffield United,1-1,1,D
1925-03-21,Newcastle United,Leeds United,4-1,1,H
1925-04-13,Sheffield United,Newcastle United,1-2,1,A
1925-04-14,West Ham United,Sheffield United,6-2,1,H
1925-08-29,West Ham United,Manchester United,1-0,1,H
1925-09-16,Leeds United,Newcastle United,2-0,1,H
1925-09-19,Leeds United,West Ham United,5-2,1,H
1925-09-26,West Ham United,Newcastle United,1-0,1,H
1925-10-03,Leeds United,Manchester United,2-0,1,H
1925-10-10,Manchester United,Newcastle United,2-1,1,H
1925-10-10,Rotherham United,Hartlepool United,1-0,3,H
1925-10-17,West Ham United,Sheffield United,1-3,1,A
1925-11-21,Sheffield United,Leeds United,2-0,1,H
1925-12-09,Newcastle United,Sheffield United,3-1,1,H
1925-12-12,Manchester United,Sheffield United,1-2,1,A
1926-01-02,Manchester United,West Ham United,2-1,1,H
1926-01-30,West Ham United,Leeds United,4-2,1,H
1926-02-06,Newcastle United,West Ham United,4-1,1,H
1926-02-13,Manchester United,Leeds United,2-1,1,H
1926-02-20,Hartlepool United,Rotherham United,2-1,3,H
1926-02-27,Sheffield United,West Ham United,1-1,1,D
1926-04-03,Leeds United,Sheffield United,2-0,1,H
1926-04-05,Newcastle United,Leeds United,3-0,1,H
1926-04-10,Sheffield United,Newcastle United,4-3,1,H
1926-04-14,Newcastle United,Manchester United,4-1,1,H
1926-04-24,Sheffield United,Manchester United,2-0,1,H
1926-08-30,Sheffield United,Manchester United,2-2,1,D
1926-09-04,Manchester United,Leeds United,2-2,1,D
1926-09-11,Newcastle United,Manchester United,4-2,1,H
1926-09-18,Sheffield United,Leeds United,1-0,1,H
1926-09-25,Newcastle United,Sheffield United,2-0,1,H
1926-10-23,Sheffield United,West Ham United,0-2,1,A
1926-10-30,West Ham United,Manchester United,4-0,1,H
1926-10-30,Rotherham United,Hartlepool United,5-3,3,H
1926-12-04,Newcastle United,West Ham United,2-0,1,H
1926-12-11,West Ham United,Leeds United,3-2,1,H
1926-12-27,Leeds United,Newcastle United,1-2,1,A
1927-01-01,Manchester United,Sheffield United,5-0,1,H
1927-01-01,Newcastle United,Leeds United,1-0,1,H
1927-01-22,Leeds United,Manchester United,2-3,1,A
1927-02-05,Leeds United,Sheffield United,1-1,1,D
1927-02-09,Manchester United,Newcastle United,3-1,1,H
1927-02-12,Sheffield United,Newcastle United,2-1,1,H
1927-03-12,West Ham United,Sheffield United,3-0,1,H
1927-03-19,Manchester United,West Ham United,0-3,1,A
1927-03-19,Hartlepool United,Rotherham United,3-1,3,H
1927-04-23,West Ham United,Newcastle United,1-1,1,D
1927-04-30,Leeds United,West Ham United,6-3,1,H
1927-09-10,Manchester United,Newcastle United,1-7,1,A
1927-09-24,Southend United,Torquay United,1-0,3,H
1927-10-22,Newcastle United,Sheffield United,1-0,1,H
1927-10-22,Rotherham United,Hartlepool United,5-0,3,H
1927-10-29,West Ham United,Manchester United,1-2,1,A
1927-12-10,Sheffield United,Manchester United,2-1,1,H
1927-12-24,West Ham United,Newcastle United,5-2,1,H
1927-12-26,Sheffield United,West Ham United,6-2,1,H
1927-12-27,West Ham United,Sheffield United,1-1,1,D
1928-01-21,Newcastle United,Manchester United,4-1,1,H
1928-02-04,Torquay United,Southend United,3-3,3,D
1928-03-03,Hartlepool United,Rotherham United,1-3,3,A
1928-03-10,Manchester United,West Ham United,1-1,1,D
1928-04-21,Manchester United,Sheffield United,2-3,1,A
1928-04-23,Sheffield United,Newcastle United,1-1,1,D
1928-05-05,Newcastle United,West Ham United,3-1,1,H
1928-08-25,West Ham United,Sheffield United,4-0,1,H
1928-09-01,Sheffield United,Newcastle United,3-1,1,H
1928-09-01,Carlisle United,Hartlepool United,8-0,3,H
1928-09-08,Leeds United,Manchester United,3-2,1,H
1928-09-08,Hartlepool United,Rotherham United,1-1,3,D
1928-09-15,Rotherham United,Carlisle United,4-0,3,H
1928-09-22,West Ham United,Manchester United,3-1,1,H
1928-09-29,Leeds United,West Ham United,4-1,1,H
1928-09-29,Manchester United,Newcastle United,5-0,1,H
1928-10-06,Newcastle United,Leeds United,3-2,1,H
1928-12-22,Southend United,Torquay United,3-0,3,H
1928-12-25,Manchester United,Sheffield United,1-1,1,D
1928-12-25,West Ham United,Newcastle United,1-0,1,H
1928-12-26,Newcastle United,West Ham United,1-0,1,H
1928-12-26,Sheffield United,Manchester United,6-1,1,H
1928-12-29,Sheffield United,West Ham United,3-3,1,D
1929-01-05,Newcastle United,Sheffield United,4-2,1,H
1929-01-05,Hartlepool United,Carlisle United,1-0,3,H
1929-01-19,Manchester United,Leeds United,1-2,1,A
1929-01-19,Rotherham United,Hartlepool United,3-2,3,H
1929-01-26,Carlisle United,Rotherham United,1-1,3,D
1929-02-02,Manchester United,West Ham United,2-3,1,A
1929-02-09,Newcastle United,Manchester United,5-0,1,H
1929-02-09,West Ham United,Leeds United,8-2,1,H
1929-02-16,Leeds United,Newcastle United,0-0,1,D
1929-04-01,Sheffield United,Leeds United,1-1,1,D
1929-04-02,Leeds United,Sheffield United,2-0,1,H
1929-05-04,Torquay United,Southend United,2-1,3,H
1929-08-31,Newcastle United,Manchester United,4-1,1,H
1929-09-09,West Ham United,Newcastle United,5-1,1,H
1929-09-28,West Ham United,Manchester United,2-1,1,H
1929-10-05,Sheffield United,Newcastle United,1-0,1,H
1929-10-07,Sheffield United,Manchester United,3-1,1,H
1929-10-19,Southend United,Torquay United,1-1,3,D
1929-10-26,Carlisle United,Hartlepool United,5-2,3,H
1929-11-09,Sheffield United,Leeds United,3-2,1,H
